"ID";"Persoonskenmerken";"Marges";"Regio";"StressDEenOfMeerFactZeerVaak_13"
"119";"T009002";"MW00000";"GM0523";"    37.3"
"120";"T009002";"MW00000";"GM0072";"       ."
"121";"T009002";"MW00000";"GM0244";"    45.7"
"122";"T009002";"MW00000";"GM0396";"    47.9"
"123";"T009002";"MW00000";"GM0397";"    52.2"
"124";"T009002";"MW00000";"GM0246";"    43.0"
"125";"T009002";"MW00000";"GM0074";"       ."
"126";"T009002";"MW00000";"GM0398";"    44.9"
"127";"T009002";"MW00000";"GM0917";"    47.2"
"128";"T009002";"MW00000";"GM1658";"       ."
"129";"T009002";"MW00000";"GM0399";"    46.9"
"130";"T009002";"MW00000";"GM0400";"    46.4"
"131";"T009002";"MW00000";"GM0163";"    37.3"
"132";"T009002";"MW00000";"GM0530";"    47.1"
"133";"T009002";"MW00000";"GM0794";"       ."
"134";"T009002";"MW00000";"GM0531";"    40.5"
"135";"T009002";"MW00000";"GM0164";"    43.8"
"136";"T009002";"MW00000";"GM0796";"       ."
"137";"T009002";"MW00000";"GM0252";"    37.1"
"138";"T009002";"MW00000";"GM0797";"       ."
"139";"T009002";"MW00000";"GM0534";"    47.7"
"140";"T009002";"MW00000";"GM0798";"       ."
"141";"T009002";"MW00000";"GM0402";"    52.4"
"142";"T009002";"MW00000";"GM1963";"    39.6"
"143";"T009002";"MW00000";"GM1735";"    36.6"
"144";"T009002";"MW00000";"GM1966";"    42.1"
"145";"T009002";"MW00000";"GM1911";"    42.5"
"146";"T009002";"MW00000";"GM0118";"    31.8"
"147";"T009002";"MW00000";"GM0405";"    49.2"
"148";"T009002";"MW00000";"GM1507";"    37.2"
"149";"T009002";"MW00000";"GM0321";"    44.4"
"150";"T009002";"MW00000";"GM0406";"    48.9"
"151";"T009002";"MW00000";"GM0677";"    45.0"
"152";"T009002";"MW00000";"GM0353";"    41.7"
"153";"T009002";"MW00000";"GM1884";"    44.0"
"154";"T009002";"MW00000";"GM0166";"    41.2"
"155";"T009002";"MW00000";"GM0678";"    38.9"
"156";"T009002";"MW00000";"GM0537";"    39.0"
"157";"T009002";"MW00000";"GM0928";"    45.6"
"158";"T009002";"MW00000";"GM1598";"    41.2"
"159";"T009002";"MW00000";"GM0542";"    40.0"
"160";"T009002";"MW00000";"GM1931";"    36.5"
"161";"T009002";"MW00000";"GM1659";"       ."
"162";"T009002";"MW00000";"GM1685";"       ."
"163";"T009002";"MW00000";"GM0882";"    42.9"
"164";"T009002";"MW00000";"GM0415";"    52.8"
"165";"T009002";"MW00000";"GM0416";"    44.6"
"166";"T009002";"MW00000";"GM1621";"    51.2"
"167";"T009002";"MW00000";"GM0417";"       ."
"168";"T009002";"MW00000";"GM0080";"       ."
"169";"T009002";"MW00000";"GM0546";"    47.7"
"170";"T009002";"MW00000";"GM0547";"    44.1"
"171";"T009002";"MW00000";"GM1916";"       ."
"172";"T009002";"MW00000";"GM0995";"    48.5"
"173";"T009002";"MW00000";"GM1640";"    37.2"
"174";"T009002";"MW00000";"GM0327";"    45.8"
"175";"T009002";"MW00000";"GM1705";"       ."
"176";"T009002";"MW00000";"GM0553";"    45.9"
"177";"T009002";"MW00000";"GM0262";"    43.3"
"178";"T009002";"MW00000";"GM0809";"       ."
"179";"T009002";"MW00000";"GM0331";"    32.7"
"180";"T009002";"MW00000";"GM0024";"    49.7"
"181";"T009002";"MW00000";"GM0168";"    32.2"
"182";"T009002";"MW00000";"GM0263";"    35.2"
"183";"T009002";"MW00000";"GM1641";"    38.6"
"184";"T009002";"MW00000";"GM0556";"    46.8"
"185";"T009002";"MW00000";"GM0935";"    48.1"
"186";"T009002";"MW00000";"GM0420";"    43.2"
"187";"T009002";"MW00000";"GM0938";"    37.8"
"188";"T009002";"MW00000";"GM1948";"       ."
"189";"T009002";"MW00000";"GM0119";"    42.1"
"190";"T009002";"MW00000";"GM0687";"    44.2"
"191";"T009002";"MW00000";"GM1842";"       ."
"192";"T009002";"MW00000";"GM1731";"    38.9"
"193";"T009002";"MW00000";"GM1952";"    44.1"
"194";"T009002";"MW00000";"GM0815";"       ."
"195";"T009002";"MW00000";"GM1709";"    44.2"
"196";"T009002";"MW00000";"GM1978";"    34.8"
"197";"T009002";"MW00000";"GM1955";"    41.4"
"198";"T009002";"MW00000";"GM0335";"    47.0"
"199";"T009002";"MW00000";"GM0944";"    43.1"
"200";"T009002";"MW00000";"GM1740";"    36.3"
"201";"T009002";"MW00000";"GM0946";"    41.1"
"202";"T009002";"MW00000";"GM0356";"    38.9"
"203";"T009002";"MW00000";"GM0569";"    41.6"
"204";"T009002";"MW00000";"GM0267";"       ."
"205";"T009002";"MW00000";"GM0268";"    44.4"
"206";"T009002";"MW00000";"GM1930";"    48.6"
"207";"T009002";"MW00000";"GM1970";"       ."
"208";"T009002";"MW00000";"GM1695";"    45.0"
"209";"T009002";"MW00000";"GM1699";"    33.2"
"210";"T009002";"MW00000";"GM0171";"    42.1"
"211";"T009002";"MW00000";"GM0575";"    38.8"
"212";"T009002";"MW00000";"GM0820";"       ."
"213";"T009002";"MW00000";"GM0302";"    40.9"
"214";"T009002";"MW00000";"GM0579";"    48.1"
"215";"T009002";"MW00000";"GM0823";"       ."
"216";"T009002";"MW00000";"GM0824";"       ."
"217";"T009002";"MW00000";"GM1895";"       ."
"218";"T009002";"MW00000";"GM0269";"    43.2"
"219";"T009002";"MW00000";"GM0173";"    40.3"
"220";"T009002";"MW00000";"GM1773";"    46.7"
"221";"T009002";"MW00000";"GM0175";"    30.6"
"222";"T009002";"MW00000";"GM1586";"    43.4"
"223";"T009002";"MW00000";"GM0826";"    47.3"
"224";"T009002";"MW00000";"GM0085";"       ."
"225";"T009002";"MW00000";"GM0431";"    41.0"
"226";"T009002";"MW00000";"GM0432";"    51.4"
"227";"T009002";"MW00000";"GM0086";"       ."
"228";"T009002";"MW00000";"GM0828";"       ."
"229";"T009002";"MW00000";"GM1509";"    39.0"
"230";"T009002";"MW00000";"GM0437";"       ."
"231";"T009002";"MW00000";"GM0589";"    33.9"
"232";"T009002";"MW00000";"GM1734";"       ."
"233";"T009002";"MW00000";"GM0590";"    44.0"
"234";"T009002";"MW00000";"GM1894";"    36.9"
"235";"T009002";"MW00000";"GM0765";"       ."
"236";"T009002";"MW00000";"GM1926";"       ."
"237";"T009002";"MW00000";"GM0439";"    44.0"
"238";"T009002";"MW00000";"GM0273";"    43.8"
"239";"T009002";"MW00000";"GM0177";"       ."
"240";"T009002";"MW00000";"GM0703";"    35.8"
"241";"T009002";"MW00000";"GM0274";"       ."
"242";"T009002";"MW00000";"GM0339";"       ."
"243";"T009002";"MW00000";"GM1667";"       ."
"244";"T009002";"MW00000";"GM0275";"       ."
"245";"T009002";"MW00000";"GM0340";"    36.8"
"246";"T009002";"MW00000";"GM0597";"    40.4"
"247";"T009002";"MW00000";"GM1742";"    29.7"
"248";"T009002";"MW00000";"GM0603";"       ."
"249";"T009002";"MW00000";"GM1669";"    43.0"
"250";"T009002";"MW00000";"GM0957";"    38.8"
"251";"T009002";"MW00000";"GM0736";"    43.0"
"252";"T009002";"MW00000";"GM1674";"    47.2"
"253";"T009002";"MW00000";"GM0599";"    51.6"
"254";"T009002";"MW00000";"GM0277";"       ."
"255";"T009002";"MW00000";"GM0840";"    40.7"
"256";"T009002";"MW00000";"GM0441";"    45.5"
